,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
9789,0.404,0.962,3,-2.901,1,0.0978,0.0352,0.0,0.146,0.572,158.121,audio_features,1begrRmOMxZvLjUvFSUaEj,spotify:track:1begrRmOMxZvLjUvFSUaEj,https://api.spotify.com/v1/tracks/1begrRmOMxZvLjUvFSUaEj,https://api.spotify.com/v1/audio-analysis/1begrRmOMxZvLjUvFSUaEj,182267,4
9790,0.698,0.533,2,-6.246,1,0.0437,0.542,0.0,0.333,0.275,134.001,audio_features,6tBD4yjOf9P8rWwUlXdJFm,spotify:track:6tBD4yjOf9P8rWwUlXdJFm,https://api.spotify.com/v1/tracks/6tBD4yjOf9P8rWwUlXdJFm,https://api.spotify.com/v1/audio-analysis/6tBD4yjOf9P8rWwUlXdJFm,273440,4
9791,0.446,0.435,9,-5.874,1,0.107,0.621,0.0,0.107,0.232,50.176,audio_features,0oz4ZqHuUaz3uEkP2vD0u8,spotify:track:0oz4ZqHuUaz3uEkP2vD0u8,https://api.spotify.com/v1/tracks/0oz4ZqHuUaz3uEkP2vD0u8,https://api.spotify.com/v1/audio-analysis/0oz4ZqHuUaz3uEkP2vD0u8,257179,4
9792,0.554,0.85,0,-7.428,1,0.0401,0.00243,0.172,0.108,0.244,120.011,audio_features,21fq2CKL93mfnYHItpitxg,spotify:track:21fq2CKL93mfnYHItpitxg,https://api.spotify.com/v1/tracks/21fq2CKL93mfnYHItpitxg,https://api.spotify.com/v1/audio-analysis/21fq2CKL93mfnYHItpitxg,241107,4
9793,0.692,0.422,2,-10.533,1,0.0333,0.0811,0.0,0.0848,0.468,74.375,audio_features,2DjWsDGgL1xNbhnr7f6t5F,spotify:track:2DjWsDGgL1xNbhnr7f6t5F,https://api.spotify.com/v1/tracks/2DjWsDGgL1xNbhnr7f6t5F,https://api.spotify.com/v1/audio-analysis/2DjWsDGgL1xNbhnr7f6t5F,193120,4
9794,0.689,0.761,9,-6.238,1,0.0318,0.00739,0.197,0.114,0.238,118.949,audio_features,4QWTC4uFOUUgt0KL745RfK,spotify:track:4QWTC4uFOUUgt0KL745RfK,https://api.spotify.com/v1/tracks/4QWTC4uFOUUgt0KL745RfK,https://api.spotify.com/v1/audio-analysis/4QWTC4uFOUUgt0KL745RfK,203697,4
9795,0.846,0.714,8,-5.176,1,0.0324,0.285,4.36e-05,0.147,0.81,118.048,audio_features,4P1VRK8PnYhIOOPEO5gGWq,spotify:track:4P1VRK8PnYhIOOPEO5gGWq,https://api.spotify.com/v1/tracks/4P1VRK8PnYhIOOPEO5gGWq,https://api.spotify.com/v1/audio-analysis/4P1VRK8PnYhIOOPEO5gGWq,160169,4
9796,0.521,0.535,11,-5.397,0,0.033,0.229,0.0,0.0783,0.213,149.612,audio_features,5dNsvzQqFLEmzyM5pCtODi,spotify:track:5dNsvzQqFLEmzyM5pCtODi,https://api.spotify.com/v1/tracks/5dNsvzQqFLEmzyM5pCtODi,https://api.spotify.com/v1/audio-analysis/5dNsvzQqFLEmzyM5pCtODi,238947,4
9797,0.691,0.565,9,-10.512,0,0.104,0.16,0.0,0.165,0.21,110.028,audio_features,1q4VecBuua58g3EZfdPMSN,spotify:track:1q4VecBuua58g3EZfdPMSN,https://api.spotify.com/v1/tracks/1q4VecBuua58g3EZfdPMSN,https://api.spotify.com/v1/audio-analysis/1q4VecBuua58g3EZfdPMSN,253640,4
9798,0.483,0.491,2,-5.041,1,0.0582,0.203,0.0,0.106,0.787,95.237,audio_features,5lOK3NCvbvgK6cohyTTQ4Z,spotify:track:5lOK3NCvbvgK6cohyTTQ4Z,https://api.spotify.com/v1/tracks/5lOK3NCvbvgK6cohyTTQ4Z,https://api.spotify.com/v1/audio-analysis/5lOK3NCvbvgK6cohyTTQ4Z,216280,4
